name,baseType,weighted_listings,total_listings,max_listings,total_count,leagues_seen,avg_weighted_listings
Glacial Hammer,Glacial Hammer,10246.050000000003,16089,4749,1536,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2049.2100000000005
Stun Support,Stun Support,5758.000000000001,8697,2783,927,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1151.6000000000001
Mana Leech Support,Mana Leech Support,6737.55,9919,3583,1089,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1347.51
Stormblast Mine,Stormblast Mine,8272.599999999999,14812,4390,1468,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1654.5199999999998
Sigil of Power,Sigil of Power,7139.749999999999,13406,4197,1325,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1427.9499999999998
Petrified Blood,Petrified Blood,7926.900000000001,14864,4560,1592,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1585.38
Seismic Cry,Seismic Cry,6869.0,12901,4488,1268,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1373.8
Chain Hook,Chain Hook,5936.150000000001,10220,3393,1078,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1187.23
Blazing Salvo,Blazing Salvo,5762.700000000001,10480,3799,1168,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1152.5400000000002
Pestilent Strike,Pestilent Strike,6219.95,10905,3475,1096,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1243.99
Bodyswap,Bodyswap,7158.450000000001,11754,3493,1232,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1431.69
Plague Bearer,Plague Bearer,7614.350000000001,13139,3750,1406,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1522.8700000000003
Spectral Helix,Spectral Helix,5438.4,10031,3725,1239,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1087.6799999999998
Intuitive Link,Intuitive Link,4593.6,8829,3541,879,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",918.72
Swordstorm,Swordstorm,5240.500000000001,10132,3798,1452,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1048.1000000000001
Faster Casting Support,Faster Casting Support,19081.8,26897,8336,2166,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",3816.3599999999997
Pride,Pride,12866.150000000001,20699,3547,1911,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2573.2300000000005
Vulnerability,Vulnerability,11308.449999999999,19074,5013,1750,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2261.6899999999996
Controlled Destruction Support,Controlled Destruction Support,15949.300000000003,21400,6030,1983,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",3189.8600000000006
Lightning Spire Trap,Lightning Spire Trap,7304.550000000003,12077,3566,1192,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1460.9100000000005
Perforate,Perforate,6868.65,11875,3994,1334,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1373.73
Arcane Cloak,Arcane Cloak,8561.449999999999,15734,4139,1563,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1712.2899999999997
Penance Brand,Penance Brand,6668.25,11965,4052,1321,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1333.65
Awakened Cold Penetration Support,Awakened Cold Penetration Support,6472.3499999999985,10255,4280,939,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1294.4699999999998
Defiance Banner,Defiance Banner,7556.9,11894,2289,1416,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1511.3799999999999
Energy Blade,Energy Blade,5324.05,10554,3747,1096,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1064.81
Consecrated Path,Consecrated Path,7219.349999999999,11960,3598,1210,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1443.87
Awakened Vicious Projectiles Support,Awakened Vicious Projectiles Support,6547.900000000002,10345,4374,981,"{'Standard', 'Settlers', 'Hardcore', 'Mercenaries'}",1636.9750000000006
Animate Guardian,Animate Guardian,13024.900000000001,19894,3906,1930,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2604.9800000000005
Spell Echo Support,Spell Echo Support,12352.95,18282,4423,1829,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2470.59
Wither,Wither,11023.45,17724,4213,1653,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2204.69
Tornado Shot,Tornado Shot,14430.150000000005,20947,4136,1918,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2886.030000000001
Brand Recall,Brand Recall,6256.4,10221,3776,1127,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1251.28
Bonechill Support,Bonechill Support,7362.750000000001,11284,2557,1117,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1472.5500000000002
High-Impact Mine Support,High-Impact Mine Support,5513.5,10098,2345,869,"{'Standard', 'Settlers', 'Hardcore', 'Mercenaries'}",1378.375
Blight,Blight,8861.150000000001,14077,3752,1426,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1772.2300000000002
Life Leech Support,Life Leech Support,8417.8,11797,4145,1148,"{'Standard', 'Settlers', 'Hardcore', 'Mercenaries'}",2104.45
Summon Stone Golem,Summon Stone Golem,18352.5,27682,6412,2340,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",3670.5
Purity of Fire,Purity of Fire,13756.300000000003,21965,4065,1870,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2751.2600000000007
Mirage Archer Support,Mirage Archer Support,10471.350000000004,15508,3704,1654,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2094.270000000001
Burning Damage Support,Burning Damage Support,9575.149999999998,14775,3630,1434,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1915.0299999999995
Frost Wall,Frost Wall,8816.05,13631,3908,1464,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1763.2099999999998
Purity of Lightning,Purity of Lightning,10609.1,15688,3990,1397,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2121.82
Blind Support,Blind Support,6722.600000000001,9799,3187,1043,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1344.5200000000002
Winter Orb,Winter Orb,9280.25,14330,3688,1387,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1856.05
Herald of Purity,Herald of Purity,11501.350000000002,17041,3472,1882,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2300.2700000000004
Withering Step,Withering Step,9641.4,16197,4459,1722,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1928.28
Infernal Legion Support,Infernal Legion Support,5587.25,9173,2805,1059,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1117.45
Purifying Flame,Purifying Flame,8033.450000000001,13496,4121,1509,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1606.69
Cluster Traps Support,Cluster Traps Support,5741.900000000001,8707,1940,842,"{'Standard', 'Settlers', 'Hardcore', 'Mercenaries'}",1435.4750000000001
Hypothermia Support,Hypothermia Support,12142.950000000003,17075,4399,1645,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2428.5900000000006
Awakened Added Fire Damage Support,Awakened Added Fire Damage Support,5839.6,9362,4011,849,"{'Standard', 'Settlers', 'Hardcore', 'Mercenaries'}",1459.9
Absolution,Absolution,6014.350000000001,11046,4014,1295,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1202.8700000000003
Dark Pact,Dark Pact,8813.450000000003,13890,3524,1333,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1762.6900000000005
Charged Dash,Charged Dash,7266.499999999999,11862,3638,1190,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1453.2999999999997
Barrage,Barrage,11412.849999999999,16628,4057,1554,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2282.5699999999997
Frostbite,Frostbite,10561.199999999999,16359,4030,1674,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2112.24
Kinetic Blast,Kinetic Blast,10211.0,16004,3822,1540,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2042.2
Explosive Arrow,Explosive Arrow,9695.499999999998,15518,3658,1576,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1939.0999999999997
Summon Holy Relic,Summon Holy Relic,9260.2,15495,4465,1560,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1852.0400000000002
Slower Projectiles Support,Slower Projectiles Support,8801.95,12675,3358,1095,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1760.39
Mark On Hit Support,Mark On Hit Support,7391.65,14474,3213,1685,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1478.33
Vaal Glacial Hammer,Vaal Glacial Hammer,863.05,1093,661,159,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",172.60999999999999
Seismic Trap,Seismic Trap,7582.65,12614,3589,1362,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1516.53
Swift Affliction Support,Swift Affliction Support,11096.900000000001,17432,3555,1576,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2219.38
Shattering Steel,Shattering Steel,7010.95,11916,3807,1252,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1402.19
Trinity Support,Trinity Support,8577.25,15778,3774,1582,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1715.45
Infernal Cry,Infernal Cry,9400.45,15324,4123,1558,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1880.0900000000001
Multiple Traps Support,Multiple Traps Support,7052.800000000002,10486,3229,1221,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1410.5600000000004
Convocation,Convocation,10475.95,14991,4137,1536,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2095.19
Vaal Immortal Call,Vaal Immortal Call,512.2,568,387,74,"{'Standard', 'Hardcore'}",256.1
Arc,Arc,13112.799999999997,19034,5029,1690,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2622.5599999999995
Desecrate,Desecrate,12228.8,18953,4920,1813,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2445.7599999999998
Righteous Fire,Righteous Fire,13818.600000000002,21396,4516,2161,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2763.7200000000003
Culling Strike Support,Culling Strike Support,12153.550000000001,17704,4781,1778,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2430.71
Burning Arrow,Burning Arrow,10989.0,16817,5300,1537,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2197.8
Detonate Dead,Detonate Dead,10324.9,16479,4715,1666,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2064.98
Arcane Surge Support,Arcane Surge Support,16230.400000000001,24163,7677,1862,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",3246.0800000000004
Firestorm,Firestorm,10018.950000000003,15998,4739,1639,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2003.7900000000004
Contagion,Contagion,9950.350000000004,15343,3982,1566,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1990.0700000000008
Trap Support,Trap Support,6572.199999999999,9825,2959,1030,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1314.4399999999998
Explosive Trap,Explosive Trap,7635.049999999998,13064,3858,1289,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1527.0099999999998
Toxic Rain,Toxic Rain,11249.25,17935,4148,1879,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2249.85
War Banner,War Banner,10399.9,16613,3460,1669,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2079.98
Flesh and Stone,Flesh and Stone,11346.6,18019,3118,1791,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2269.32
Second Wind Support,Second Wind Support,9262.200000000003,13384,2706,1507,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1852.4400000000005
Exsanguinate,Exsanguinate,7188.0999999999985,13593,3966,1404,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1437.6199999999997
Mirror Arrow,Mirror Arrow,27366.15,46467,22629,2191,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",5473.2300000000005
Void Sphere,Void Sphere,6533.35,11578,3794,1225,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1306.67
Cast while Channelling Support,Cast while Channelling Support,6299.5999999999985,9648,2309,870,"{'Standard', 'Settlers', 'Hardcore', 'Mercenaries'}",1574.8999999999996
Elemental Weakness,Elemental Weakness,10371.650000000001,17832,5169,1870,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2074.3300000000004
Brutality Support,Brutality Support,12930.65,20825,3264,1511,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2586.13
Locus Mine Support,Locus Mine Support,3107.45,6794,2671,870,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",621.49
Volatile Dead,Volatile Dead,9435.349999999999,14718,3942,1497,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1887.0699999999997
Vaal Discipline,Vaal Discipline,7645.9000000000015,11265,2111,1435,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1529.1800000000003
Tempest Shield,Tempest Shield,13451.4,22916,4741,2160,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2690.2799999999997
Dash,Dash,13979.9,22067,6940,2064,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2795.98
Sniper's Mark,Sniper's Mark,14530.400000000003,24190,5858,2311,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2906.080000000001
Ancestral Cry,Ancestral Cry,6302.55,11376,3820,1235,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1260.51
More Duration Support,More Duration Support,9299.8,15998,3851,2572,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1859.9599999999998
Divine Ire,Divine Ire,6964.950000000001,11737,3621,1196,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1392.9900000000002
Rage Vortex,Rage Vortex,5633.2,10607,4052,1212,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1126.6399999999999
Deadly Ailments Support,Deadly Ailments Support,7204.999999999999,11607,2798,1110,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1440.9999999999998
Charged Mines Support,Charged Mines Support,4973.849999999999,9164,2464,884,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",994.7699999999999
Essence Drain,Essence Drain,11203.350000000002,16985,3865,1707,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2240.6700000000005
Ice Nova,Ice Nova,12687.900000000001,20315,6918,1812,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2537.5800000000004
Zealotry,Zealotry,11739.800000000001,18454,3479,1896,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2347.96
Frostblink,Frostblink,15074.400000000003,27592,11518,2092,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",3014.8800000000006
Added Lightning Damage Support,Added Lightning Damage Support,17597.3,25546,8055,1907,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",3519.46
Minion Damage Support,Minion Damage Support,15345.400000000001,22268,5368,1971,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",3069.0800000000004
Raise Zombie,Raise Zombie,15620.349999999999,22686,5479,1941,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",3124.0699999999997
Vaal Grace,Vaal Grace,7461.35,11054,2180,1399,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1492.27
Ball Lightning,Ball Lightning,9958.7,15358,3815,1564,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1991.7400000000002
Despair,Despair,12865.100000000002,20005,4941,1908,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2573.0200000000004
Spark,Spark,11896.100000000002,18086,4683,1756,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2379.2200000000003
Lacerate,Lacerate,9720.949999999999,16283,5169,1470,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1944.1899999999998
Cobra Lash,Cobra Lash,7029.4,12121,3866,1364,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1405.8799999999999
Awakened Chain Support,Awakened Chain Support,1657.0,2487,727,276,"{'Standard', 'Settlers', 'Hardcore', 'Mercenaries'}",414.25
Summon Ice Golem,Summon Ice Golem,16971.15,24261,5422,2095,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",3394.2300000000005
Cremation,Cremation,7727.95,12595,3710,1399,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1545.59
Summon Flame Golem,Summon Flame Golem,15805.0,23013,4978,2058,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",3161.0
Rejuvenation Totem,Rejuvenation Totem,9570.6,15576,3874,1512,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1914.1200000000001
Summon Raging Spirit,Summon Raging Spirit,16063.25,24348,5122,2157,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",3212.65
Lightning Arrow,Lightning Arrow,11362.800000000001,17433,4351,1783,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2272.5600000000004
Static Strike,Static Strike,8684.8,13949,3834,1290,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1736.9599999999998
Anger,Anger,12083.95,19116,3778,1928,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2416.79
Flameblast,Flameblast,8616.75,13426,3565,1379,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1723.35
Smite,Smite,9786.250000000002,16940,4378,1698,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1957.2500000000005
Pulverise Support,Pulverise Support,7144.200000000002,11408,2668,948,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1428.8400000000004
Shield Crush,Shield Crush,6182.75,11586,4081,1330,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1236.55
Forbidden Rite,Forbidden Rite,6972.000000000002,12410,3876,1430,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1394.4000000000003
Storm Call,Storm Call,8576.0,13485,3689,1253,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1715.2
Blade Blast,Blade Blast,6560.650000000001,11153,3509,1238,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1312.13
Bloodlust Support,Bloodlust Support,6133.8,9157,2494,895,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1226.76
Cast On Critical Strike Support,Cast On Critical Strike Support,8494.3,12642,3454,1130,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1698.86
Discipline,Discipline,14556.849999999997,22549,3985,1977,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2911.3699999999994
Blade Vortex,Blade Vortex,12192.550000000003,18170,4209,1778,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2438.5100000000007
Void Manipulation Support,Void Manipulation Support,13503.05,20997,4826,1822,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2700.6099999999997
Faster Projectiles Support,Faster Projectiles Support,7842.35,11217,3709,1002,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1568.47
